alpha,beta,p,distance_to_best,mean,stddev
0.2,1.0,0.7999999999999999,6730.482486224069,14820.990972460188,343.2913976573679
0.2,1.0,0.8999999999999999,7016.704214418291,14962.328007772772,302.3269045640201
0.2,2.0,0.0,2910.3141005817215,10836.93886020298,367.72857882140005
0.2,2.0,0.1,2377.248104336817,10523.58545849409,384.8959420432571
0.2,2.0,0.2,2510.3754461790977,10471.819621299352,330.4697124445039
0.2,2.0,0.30000000000000004,2798.9279188688633,10686.52312869693,259.4259912043091
0.2,2.0,0.4,2848.5350636790718,10665.136869318734,238.55162620692832
0.2,2.0,0.5,3016.312029002056,10647.579304992123,88.57556604006841
0.2,2.0,0.6,2904.0444971001143,10735.650562792907,281.54716354280055
0.2,2.0,0.7,2901.1451130811474,10701.85666003473,158.27817852383453
0.2,2.0,0.7999999999999999,2719.141142162902,10717.488920222404,276.46868203891574
0.2,2.0,0.8999999999999999,3089.285174794404,10749.328689602184,137.54846795940645
0.2,3.0,0.0,1539.104578569726,9196.668484692063,91.73048686199985
0.2,3.0,0.1,1318.4720062364268,9004.309204196215,93.56963285784725
0.2,3.0,0.2,1195.027791304561,9088.3234314583,230.65718519621348
0.2,3.0,0.30000000000000004,1300.0577040404332,8988.246640391015,101.2384243050821
0.2,3.0,0.4,1410.6218274830098,9125.606451412905,133.57155778849466
0.2,3.0,0.5,1284.6219570241865,9137.950427598598,181.12677831443224
0.2,3.0,0.6,1495.8867405459387,9128.654445743661,85.06084322431226
0.2,3.0,0.7,1179.0809088766528,8875.860013318446,161.88449009835992
0.2,3.0,0.7999999999999999,1297.501320876423,9091.97692150843,173.29882223517677
0.2,3.0,0.8999999999999999,1193.8176666797954,8960.956842424377,191.021712938769
0.2,4.0,0.0,377.38128772837445,8244.010293920543,222.3866899238469
0.2,4.0,0.1,803.7796992289914,8528.414532237332,104.18162354757047
0.2,4.0,0.2,496.41712950251804,8307.177186961784,168.1425151401707
0.2,4.0,0.30000000000000004,496.41712950251804,8415.089676337257,225.04621659120144
0.2,4.0,0.4,626.5810654924226,8416.538989956052,170.7487705059086
0.2,4.0,0.5,740.9893097144668,8349.40343324521,91.25516274981231
0.2,4.0,0.6,496.41712950251804,8306.396316753466,159.7372496337791
0.2,4.0,0.7,496.41712950251804,8377.451505459836,200.45917676796265
0.2,4.0,0.7999999999999999,570.8463152761233,8226.266888011472,78.23475690351304
0.2,4.0,0.8999999999999999,691.3008393205564,8371.056495102239,126.73713286152534
0.2,5.0,0.0,496.41712950251804,8098.357523500558,55.79654467147154
0.2,5.0,0.1,730.5525205439062,8338.326525715609,58.934627079077515
0.2,5.0,0.2,484.7912751693175,8149.559934511589,86.44538647188807
0.2,5.0,0.30000000000000004,571.7607020340192,8193.530305265593,50.943079631124796
0.2,5.0,0.4,481.7591149423406,8152.374592124218,75.10535401372398
0.2,5.0,0.5,566.9624777309245,8158.664268251945,51.47683260264688
0.2,5.0,0.6,477.72676557025625,8065.287245791121,38.79847384943669
0.2,5.0,0.7,484.7912751693175,8140.136200523223,95.36879344789885
0.2,5.0,0.7999999999999999,497.8642448725732,8092.265388553778,51.49509411172674
0.2,5.0,0.8999999999999999,508.1369930085748,8085.681316176981,40.22320661031227
0.2,6.0,0.0,297.4299674472695,7912.045212659285,50.234991297649565
0.2,6.0,0.1,516.0285925744447,8149.361874593931,54.45186176482422
0.2,6.0,0.2,419.9643703265665,8016.417628488485,77.77179178567138
0.2,6.0,0.30000000000000004,425.03674670971486,8018.5119876011395,65.78630922482341
0.2,6.0,0.4,308.27969088662576,7997.228967857476,102.06742345780336
0.2,6.0,0.5,308.27969088662576,7986.372684364751,106.40969952590842
0.2,6.0,0.6,394.9903712092464,8015.960804252926,47.19156478531125
0.2,6.0,0.7,427.97151196660525,8010.336331628085,49.26788563820496
0.2,6.0,0.7999999999999999,318.3438155042686,7958.990520867096,60.37345128003709
0.2,6.0,0.8999999999999999,389.9908659818884,7959.96507304831,15.74691666825243
0.2,7.0,0.0,135.83820642920364,7803.580212083216,98.9679843664153
0.2,7.0,0.1,437.48008378403847,8033.223055772091,42.736579133228844
0.2,7.0,0.2,392.8089151981949,8011.639086287548,72.83901243484966
0.2,7.0,0.30000000000000004,301.3592325638647,7951.488511514466,74.04628012552132
0.2,7.0,0.4,395.76221089407227,7995.687149024269,37.34986661674998
0.2,7.0,0.5,415.7238948136055,7999.285780788745,30.252458962520976
0.2,7.0,0.6,329.43285489483696,7933.025803784919,45.3086464389617
0.2,7.0,0.7,377.8584299660397,7951.519677794303,40.91631370144873
0.2,7.0,0.7999999999999999,235.55564781624798,7909.273282293877,74.23776412668578
0.2,7.0,0.8999999999999999,312.77470053428533,7921.160702912468,41.31155388029004
0.2,8.0,0.0,127.99359354355147,7734.494109685694,62.35225196587337
0.2,8.0,0.1,309.66707706537545,7954.771248526974,59.55344041146643
